stage,trial_index,final_config_rank,replication,eval_seed,objective_value,alpha,gamma,epsilon_decay,epsilon_min,risk_t1,risk_window,label,error,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
stage1_bo,1,,4,316345,229.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,316345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,584,281,134,147,0.5231316725978647,373.13180606754685,225.5460635029142,18.396518633717015,782.5216066022801,152.08948657422883,304,-229.0,33,357,73,140,56,88,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,5,317345,-240.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,317345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,527,277,155,122,0.4404332129963899,335.4024451848153,198.77229617608432,10.790077922669727,1006.3665999381559,126.39784038075321,251,240.0,30,352,10,7,248,87,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,6,318345,33.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,318345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,552,282,144,138,0.48936170212765956,350.74188710431673,209.53363909835053,8.83969723567143,1093.7368003308864,130.76134924175673,271,-33.0,31,360,97,41,219,3,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,7,319345,153.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,319345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,552,278,136,142,0.5107913669064749,343.1709087235547,204.76959957299135,11.613480675584368,787.2219137876621,132.63484639295993,274,-153.0,31,357,3,209,144,1,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,8,320345,103.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,320345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,567,283,141,142,0.5017667844522968,367.4524850583291,233.23852712661358,14.103620939431089,918.3644218268958,150.57266652830006,285,-103.0,31,358,8,231,116,3,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,9,321345,176.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,321345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,572,276,134,142,0.5144927536231884,354.71488773168664,218.44231957589005,12.324706307787704,871.1098867917744,142.01650264372986,297,-176.0,32,354,27,148,179,0,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,10,322345,-301.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,322345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,561,297,167,130,0.4377104377104377,314.8117655002598,205.94300730335758,12.841325965380715,766.8655984130556,126.82927581498983,264,301.0,23,351,19,162,160,10,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,11,323345,609.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,323345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,527,255,102,153,0.6,406.2612620516114,223.91951121446905,9.889845300335054,854.5521811468741,148.23287656560672,274,-609.0,33,351,4,232,47,68,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,12,324345,-65.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,324345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,539,278,146,132,0.4748201438848921,331.0671905678626,176.335098890976,11.679415142383341,758.8452465722193,120.2577648862026,262,65.0,25,358,15,175,51,117,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,13,325345,170.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,325345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,573,278,135,143,0.5143884892086331,371.4482940236927,220.69954572520547,11.314777878645003,865.1049216927124,150.52665345943666,295,-170.0,30,357,8,193,51,105,0.17218870266340675,1,1,1,1,1,1,1
