label,error,replication,eval_seed,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t1,risk_window,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
,,,,44,,,18,-11195.0,256345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2747,1399,144,1255,0.8970693352394568,1686.3726826971683,978.6758143916003,9.82119439178858,4063.955625050491,656.6189041205769,1349,-11557.0,149,1798,398,512,435,453,0.8020760579717637,1,1,1,1,1,1,1
,,,,45,,,18,-11195.0,257345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2722,1417,152,1265,0.8927311220889202,1616.4634748254218,989.9024321308391,12.567029784681822,4005.0709658758183,624.5077191401733,1305,-11616.0,162,1790,410,426,486,468,0.798065677681905,1,1,1,1,1,1,1
,,,,46,,,18,-11195.0,258345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2748,1414,144,1270,0.8981612446958982,1744.5944194874687,1036.9265175356438,9.83282613738454,4099.421449914571,677.3195126390198,1336,-11731.0,157,1796,439,462,425,470,0.7940753492934954,1,1,1,1,1,1,1
,,,,47,,,18,-11195.0,259345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2824,1403,116,1287,0.917320028510335,1795.1443719430545,1020.102137793171,11.952593625445093,4838.689093955872,698.8662857401122,1422,-12220.0,170,1802,428,499,447,428,0.7901049725470279,1,1,1,1,1,1,1
,,,,48,,,18,-11195.0,260345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2700,1432,148,1284,0.8966480446927374,1719.6162182897815,976.9760388111603,12.302143300563237,3846.7295776552382,637.7363690374038,1268,-11780.0,140,1794,455,467,446,426,0.7861544476842928,1,1,1,1,1,1,1
,,,,49,,,18,-11195.0,261345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2772,1447,134,1313,0.907394609536973,1811.2083028171364,1041.6920098057137,16.27247606924853,4234.3839048816935,695.945015570221,1325,-12198.0,136,1793,407,435,524,427,0.7822236754458713,1,1,1,1,1,1,1
,,,,50,,,18,-11195.0,262345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2740,1415,154,1261,0.8911660777385159,1760.6580098287413,1028.3970587600038,13.76800097995157,4650.847404665401,678.1653094960095,1325,-11523.0,151,1798,445,395,482,476,0.778312557068642,1,1,1,1,1,1,1
,,,,51,,,18,-11195.0,263345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2822,1388,114,1274,0.9178674351585014,1859.3476541507184,1063.895433900992,18.689707996915203,4629.418370562888,724.3091362515006,1435,-12128.0,176,1796,411,437,463,485,0.7744209942832988,1,1,1,1,1,1,1
,,,,52,,,18,-11195.0,264345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2690,1461,156,1305,0.893223819301848,1539.905420956077,903.8363320322981,9.529204014054972,4228.4393409217,584.7879103684644,1231,-11913.0,141,1794,491,451,391,461,0.7705488893118823,1,1,1,1,1,1,1
,,,,53,,,18,-11195.0,265345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2816,1422,157,1265,0.8895921237693389,1774.8893964637364,1046.226850042508,9.933207836654576,4253.314951646968,692.8935163471111,1394,-11575.0,165,1793,460,422,450,461,0.7666961448653229,1,1,1,1,1,1,1
,,,,54,,,18,-11195.0,266345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2734,1406,144,1262,0.8975817923186344,1758.5163513005414,1024.712267308098,13.326552438908056,4194.288326997321,666.0736986734921,1328,-11630.0,150,1794,437,481,442,434,0.7628626641409962,1,1,1,1,1,1,1
,,,,55,,,18,-11195.0,267345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2828,1390,157,1233,0.8870503597122302,1802.2772369117188,1095.5918780893464,12.970319313887394,4431.7410242041815,721.9646666044437,1438,-11261.0,167,1792,442,432,414,504,0.7590483508202912,1,1,1,1,1,1,1
,,,,56,,,18,-11195.0,268345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2853,1402,121,1281,0.9136947218259629,1815.9015174570434,1047.8807850616163,10.217315187866674,4737.747538519045,720.4986749720313,1451,-12041.0,147,1795,455,474,416,450,0.7552531090661897,1,1,1,1,1,1,1
,,,,57,,,18,-11195.0,269345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2761,1396,162,1234,0.8839541547277937,1730.0852318088318,1044.3217820103157,9.667309395192964,4560.789844201948,685.1237501917418,1365,-11230.0,170,1798,416,394,534,454,0.7514768435208588,1,1,1,1,1,1,1
,,,,58,,,18,-11195.0,270345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2759,1432,157,1275,0.8903631284916201,1618.8318505319373,1008.3396346755794,12.094371184227453,4056.768550855195,638.7798098306898,1327,-11603.0,141,1801,491,450,394,466,0.7477194593032545,1,1,1,1,1,1,1
,,,,59,,,18,-11195.0,271345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2723,1411,164,1247,0.8837703756201276,1763.5319291395829,1032.211294755293,18.783791077942997,4695.611784086287,657.501726955495,1313,-11298.0,156,1796,444,446,485,421,0.7439808620067382,1,1,1,1,1,1,1
,,,,60,,,18,-11195.0,272345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2825,1403,119,1284,0.9151817533856023,1798.2747068295862,1037.811693077586,16.59276563063108,4982.430568439482,713.5264461439809,1422,-12121.0,157,1800,453,402,428,517,0.7402609576967045,1,1,1,1,1,1,1
