method,run_index,final_best_objective,objective_mean,objective_std,n_valid_replications,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,n_orders_completed_mean,n_orders_in_date_mean,n_orders_late_mean,n_orders_created_mean,n_orders_incomplete_mean,late_order_fraction_mean,time_in_system_mean_mean,time_in_system_std_mean,wip_time_in_system_mean_mean,wip_time_in_system_std_mean,wip_time_in_system_min_mean,wip_time_in_system_max_mean,wip_mean_mean,work_in_progress_mean_mean,completed_norm_mean,late_total_norm_mean,on_time_loss_norm_mean,station_capacity_norm_mean,worker_capacity_norm_mean,time_in_system_mean_norm_mean,time_in_system_std_norm_mean,objective_completed_contribution_mean,objective_late_contribution_mean,objective_station_capacity_contribution_mean,objective_worker_capacity_contribution_mean,objective_time_mean_contribution_mean,objective_time_std_contribution_mean
random_search,0,0.1898591888273997,3.0934860223039333,0.1289129002317999,30,2,4,1,1,1,3,4,133.03333333333333,94.73333333333332,38.3,998.6,865.5666666666667,0.1519916377153118,177.5139116359104,93.19546572075444,623.6567630932457,361.8525660234691,1.287982102547024,1255.9653825302998,403.88523587038304,403.88523587038304,0.1337824980520039,0.904454724697938,0.904454724697938,0.25,0.3333333333333334,0.49309419898864,0.2588762936687622,-0.1337824980520039,2.713364174093815,0.2,0.1166666666666666,0.197237679595456,0.0
random_search,1,0.2140925368871073,3.132020098150269,0.0608132807661464,30,1,1,4,2,2,1,3,320.06666666666666,113.5,206.56666666666663,998.7666666666668,678.7,0.6455005903372876,494.9301114101477,276.6262077823088,484.8778486077255,281.94933301479404,1.4298796856369032,976.568830516402,338.7001997313579,338.7001997313579,0.3207441952271759,0.8861325009739087,0.8861325009739086,0.2083333333333333,0.2222222222222222,1.3748058650281882,0.7684061327286354,-0.3207441952271759,2.658397502921725,0.1666666666666667,0.0777777777777777,0.5499223460112752,0.0
random_search,2,0.2739887027821258,3.1933794677533966,0.0663771842298243,30,4,1,2,2,1,2,1,214.16666666666663,83.6,130.56666666666666,989.5666666666668,775.4,0.5133690043282916,417.7879152955473,231.08372133587028,564.9358241209235,327.0208191067862,1.8554477690068856,1137.3532152140683,380.0978452893327,380.0978452893327,0.2167637419768475,0.9153114716524716,0.9153114716524714,0.25,0.0,1.1605219869320758,0.6418992259329729,-0.2167637419768475,2.7459344149574134,0.2,0.0,0.4642087947728303,0.0
random_search,3,-0.2747756619971462,3.4505173174091497,0.0606173729971379,30,5,1,1,2,2,5,7,318.4,113.06666666666666,205.33333333333331,989.3666666666668,670.9666666666667,0.6449637030696876,494.6270367739379,272.1675458913183,484.6768456890529,279.7163051915212,1.2224005991287563,969.5745276779376,335.54211531733364,335.54211531733364,0.3221787336489103,0.8854812626586356,0.8854812626586356,0.4166666666666666,0.6666666666666669,1.3739639910387162,0.7560209608092177,-0.3221787336489103,2.6564437879759075,0.3333333333333334,0.2333333333333333,0.5495855964154865,0.0
random_search,4,-0.0375832310826304,0.1048610734616295,0.1574255475402582,30,4,3,4,2,5,5,4,917.3333333333334,917.3333333333334,0.0,1003.2666666666668,85.93333333333334,0.0,75.03085167041583,32.37521385889198,63.15256375091979,36.58469057752119,1.0854578056886264,130.62277190986208,52.14615071724864,52.14615071724864,0.915459968209708,0.0845400317902918,0.0845400317902918,0.7083333333333331,0.3333333333333334,0.2084190324178217,0.0899311496080333,-0.915459968209708,0.2536200953708756,0.5666666666666667,0.1166666666666666,0.0833676129671287,0.0
random_search,5,0.0265026999605079,1.6176750715309192,0.2288519657637706,30,1,5,5,5,5,5,6,709.3666666666667,589.8666666666667,119.5,999.1333333333332,289.76666666666665,0.1684689184107811,218.9012926383238,113.7597223961684,208.6441402006106,118.45977175538506,1.661945554944388,415.5123297652331,150.17147221848217,150.17147221848217,0.7106257087607897,0.4079886702311904,0.4079886702311904,0.8333333333333331,0.5555555555555556,0.6080591462175658,0.3159992288782458,-0.7106257087607897,1.223966010693572,0.6666666666666669,0.1944444444444445,0.2432236584870264,0.0
random_search,6,-0.041668350504908,3.1961313486224614,0.0471839091986091,30,1,1,5,4,1,2,2,318.6666666666667,113.8,204.86666666666667,998.0,679.3333333333334,0.6428513369603228,497.4082980170359,278.51794596107936,492.859127346958,283.61546039070925,1.7874090113367551,978.9217360314268,342.7068635485902,342.7068635485902,0.3196308689753167,0.8858435917855423,0.8858435917855423,0.3333333333333334,0.1111111111111111,1.3816897167139883,0.7736609610029982,-0.3196308689753167,2.657530775356627,0.2666666666666666,0.0388888888888888,0.5526758866855954,0.0
random_search,7,0.1556982675530092,2.575653069023521,0.1823597390872031,30,5,2,5,3,4,5,2,522.7333333333333,295.96666666666664,226.76666666666668,997.8333333333334,475.1,0.4223036421602488,317.5856200834345,173.00138795815428,338.7338121681753,196.44891695703737,1.2311353867078652,691.2485634025171,231.94638600699216,231.94638600699216,0.5241352481814547,0.7026755057040902,0.7026755057040902,0.75,0.1111111111111111,0.8821822780095402,0.4805594109948729,-0.5241352481814547,2.108026517112271,0.6000000000000002,0.0388888888888888,0.352872911203816,0.0
random_search,8,-0.1717501559771248,2.5305637912681767,0.1578781587049505,30,4,4,3,5,5,2,2,537.8,300.06666666666666,237.7333333333333,1003.4,465.6,0.4337635559208907,324.0980923634655,176.9874134878266,330.8007363974596,190.3505647528072,1.4567981576711948,664.0309865824078,231.6101538367052,231.6101538367052,0.5364457508800279,0.7004483316925626,0.7004483316925626,0.7083333333333331,0.1111111111111111,0.9002724787874045,0.4916317041328517,-0.5364457508800279,2.101344995077687,0.5666666666666667,0.0388888888888888,0.3601089915149618,0.0
random_search,9,0.0036936445487101,3.522335250285705,0.0540929737759516,30,3,1,5,4,2,2,8,321.3,115.73333333333332,205.56666666666663,1006.2666666666668,684.9666666666667,0.6399066869151738,493.8259616025644,276.9255950733642,488.3618322262051,282.8206027504247,1.6606521407720038,974.5138786203504,342.7330346165987,342.7330346165987,0.3196394894324946,0.884796779312524,0.884796779312524,0.4583333333333334,0.777777777777778,1.3717387822293456,0.7692377640926782,-0.3196394894324946,2.6543903379375715,0.3666666666666668,0.2722222222222222,0.5486955128917383,0.0
